metric,value,class
accuracy,1.0,overall
precision,1.0,macro
recall,1.0,macro
f1,1.0,macro
precision,1.0,weighted
recall,1.0,weighted
f1,1.0,weighted
precision,1.0,RC-01
recall,1.0,RC-01
f1,1.0,RC-01
support,3.0,RC-01
precision,1.0,RC-02
recall,1.0,RC-02
f1,1.0,RC-02
support,3.0,RC-02
precision,1.0,RC-03
recall,1.0,RC-03
f1,1.0,RC-03
support,3.0,RC-03
precision,1.0,RC-04
recall,1.0,RC-04
f1,1.0,RC-04
support,3.0,RC-04
precision,1.0,RC-05
recall,1.0,RC-05
f1,1.0,RC-05
support,4.0,RC-05
precision,1.0,RC-06
recall,1.0,RC-06
f1,1.0,RC-06
support,2.0,RC-06
precision,1.0,RC-07
recall,1.0,RC-07
f1,1.0,RC-07
support,3.0,RC-07
precision,1.0,RC-08
recall,1.0,RC-08
f1,1.0,RC-08
support,3.0,RC-08
